file_path,filename,inferred_category
/Users/steven/.config/configstore/update-notifier-carbon-now-cli.json,update-notifier-carbon-now-cli.json,config
/Users/steven/.config/carbon-now-cli,carbon-now-cli,config
/Users/steven/.carbon-config.json,.carbon-config.json,config
/Users/steven/python/carbon-now-d9CesFCEy5.png,carbon-now-d9CesFCEy5.png,asset
/Users/steven/python/carbon-now-53kvVbA6A-.png,carbon-now-53kvVbA6A-.png,asset
/Users/steven/.local/lib/python3.12/site-packages/pygments/lexers/carbon.py,carbon.py,library
/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data/targets_batch_20260208/.carbon-config.json,.carbon-config.json,config
/Users/steven/my-supremepowers/agents/workspace-ecosystem-audit-data/targets_batch_20260208/.carbon-now.json,.carbon-now.json,config
/Users/steven/Pictures/carbon-images,carbon-images,asset_dir
/Users/steven/Pictures/carbon-images/carbon-TEMPLATE.png,carbon-TEMPLATE.png,asset
/Users/steven/Pictures/carbon-images/test_carbon_high.webp,test_carbon_high.webp,asset
/Users/steven/Pictures/carbon-images/test_carbon_low.webp,test_carbon_low.webp,asset
/Users/steven/Pictures/carbon-images/carbon_run_summary.tsv,carbon_run_summary.tsv,data
/Users/steven/Pictures/carbon-images/test_carbon_medium.webp,test_carbon_medium.webp,asset
/Users/steven/Pictures/carbon-images/CarbonCards,CarbonCards,asset_dir
/Users/steven/Pictures/carbon-images/test_carbon.webp,test_carbon.webp,asset
/Users/steven/Pictures/images/public/images/photos/carbon.png,carbon.png,asset
/Users/steven/Pictures/images/public/images/photos/carbon_just_black_quiz20.png,carbon_just_black_quiz20.png,asset
/Users/steven/Pictures/images/public/images/thumbnails/carbon.jpg,carbon.jpg,asset
/Users/steven/Pictures/images/public/images/thumbnails/carbon_just_black_quiz20.jpg,carbon_just_black_quiz20.jpg,asset
/Users/steven/.nvm/alias/lts/carbon,carbon,tool
/Users/steven/Library/Application Support/Google/Chrome/Default/IndexedDB/https_carbon.now.sh_0.indexeddb.leveldb,https_carbon.now.sh_0.indexeddb.leveldb,cache
/Users/steven/Library/Python/3.14/lib/python/site-packages/pygments/lexers/carbon.py,carbon.py,library
/Users/steven/Library/Python/3.12/lib/python/site-packages/pygments/lexers/carbon.py,carbon.py,library
/Users/steven/Library/Python/3.12/lib/python/site-packages/pygments/lexers/__pycache__/carbon.cpython-312.pyc,carbon.cpython-312.pyc,cache
/Users/steven/Library/WebKit/com.BZG.Carbon,com.BZG.Carbon,cache
/Users/steven/Library/Preferences/com.BZG.Carbon.plist,com.BZG.Carbon.plist,config
/Users/steven/Library/HTTPStorages/com.BZG.Carbon,com.BZG.Carbon,cache
/Users/steven/Library/HTTPStorages/com.BZG.Carbon.binarycookies,com.BZG.Carbon.binarycookies,cache
/Users/steven/Library/Mobile Documents/com~apple~CloudDocs/carbon-cards-docs-only.zip,carbon-cards-docs-only.zip,archive
/Users/steven/Library/Mobile Documents/com~apple~CloudDocs/carbon-cards-complete-toolkit.zip,carbon-cards-complete-toolkit.zip,archive
/Users/steven/Library/Services/CarbonCodes.workflow,CarbonCodes.workflow,tool
/Users/steven/Library/Services/Carbons.workflow,Carbons.workflow,tool
/Users/steven/.carbon-now.json,.carbon-now.json,config
/Users/steven/.codex/vendor_imports/iterm2-codex-20260518_061850/skills/workspace-ecosystem-audit/targets_batch_20260208/.carbon-config.json,.carbon-config.json,config
/Users/steven/.codex/vendor_imports/iterm2-codex-20260518_061850/skills/workspace-ecosystem-audit/targets_batch_20260208/.carbon-now.json,.carbon-now.json,config
/Users/steven/.codex/archives/skills-cleanup-20260416-001913/workspace-ecosystem-audit-data/targets_batch_20260208/.carbon-config.json,.carbon-config.json,config
/Users/steven/.codex/archives/skills-cleanup-20260416-001913/workspace-ecosystem-audit-data/targets_batch_20260208/.carbon-now.json,.carbon-now.json,config
/Users/steven/iterm2/Codex/skills/workspace-ecosystem-audit/targets_batch_20260208/.carbon-config.json,.carbon-config.json,config
/Users/steven/iterm2/Codex/skills/workspace-ecosystem-audit/targets_batch_20260208/.carbon-now.json,.carbon-now.json,config
/Users/steven/scripts/carbon-batch-v4.sh,carbon-batch-v4.sh,script
/Users/steven/scripts/regenerate-carbon-images.sh,regenerate-carbon-images.sh,script
/Users/steven/scripts/CarbonCards,CarbonCards,asset_dir
/Users/steven/scripts/archive-old/carbon-automation-v3.sh,carbon-automation-v3.sh,script_archive
/Users/steven/scripts/archive-old/carbon_image_analyze_optimize.sh,carbon_image_analyze_optimize.sh,script_archive
/Users/steven/scripts/archive-old/carbon-automation-v2.sh,carbon-automation-v2.sh,script_archive
/Users/steven/scripts/archive-old/cleanup_carbon_images.sh,cleanup_carbon_images.sh,script_archive
/Users/steven/scripts/archive-old/carbon_gallery.md.txt,carbon_gallery.md.txt,doc_archive
/Users/steven/scripts/archive-old/carbon-batch-v2.sh,carbon-batch-v2.sh,script_archive
/Users/steven/scripts/archive-old/carbon-automation.sh,carbon-automation.sh,script_archive
/Users/steven/scripts/archive-old/carbon-batch-v3.sh,carbon-batch-v3.sh,script_archive
/Users/steven/scripts/archive-old/carbon-render-common-v2.sh,carbon-render-common-v2.sh,script_archive
/Users/steven/scripts/archive-old/carbon-batch.sh,carbon-batch.sh,script_archive
/Users/steven/scripts/carbon-automation-v4.sh,carbon-automation-v4.sh,script
/Users/steven/pythons/carbon-batch-macos-v2.zip,carbon-batch-macos-v2.zip,archive
/Users/steven/pythons/carbon-now-d9CesFCEy5.png,carbon-now-d9CesFCEy5.png,asset
/Users/steven/pythons/carbon-now-53kvVbA6A-.png,carbon-now-53kvVbA6A-.png,asset
/Users/steven/pythons/.worktrees/Context-Expert-Agent/carbon-now-d9CesFCEy5.png,carbon-now-d9CesFCEy5.png,asset
/Users/steven/pythons/.worktrees/Context-Expert-Agent/carbon-now-53kvVbA6A-.png,carbon-now-53kvVbA6A-.png,asset
/Users/steven/.x-cmd.root/local/data/pkg/metadata/v0.1.3/install/multimedia/carbon-now-cli.json,carbon-now-cli.json,config
/Users/steven/.x-cmd.root/local/data/pkg/metadata/v0.1.3/install/multimedia/carbonyl.json,carbonyl.json,config
/Users/steven/PYTHON_MARKETPLACE_MASTER/PRODUCT_ASSETS/ORIGINAL_PRODUCTS_v1/content_recycling_machine/carbon_run_summary.tsv,carbon_run_summary.tsv,data
/Users/steven/.vscode/extensions/hknain.carbon-pulse-1.0.6,hknain.carbon-pulse-1.0.6,tool
/Users/steven/.vscode/extensions/hknain.carbon-pulse-1.0.6/themes/Carbon Pulse-color-theme.json,Carbon Pulse-color-theme.json,config
/Users/steven/Downloads/2025-09-04-conversations/2025-6-8/21-8-18-Automate_Carbon_Image_Creation.md,21-8-18-Automate_Carbon_Image_Creation.md,doc
/Users/steven/Downloads/pipreqs_env/lib/python3.12/site-packages/pygments/lexers/carbon.py,carbon.py,library
/Users/steven/Downloads/14_JSON_Configs/carbon-config.json,carbon-config.json,config
/Users/steven/.cache/uv/archive-v0/dqAiqZQ6xdvAu6N3/pygments/lexers/carbon.py,carbon.py,library
/Users/steven/.cache/uv/archive-v0/9iETwb56Il89iCE1/pygments/lexers/carbon.py,carbon.py,library
/Users/steven/.hermes/hermes-agent/venv/lib/python3.11/site-packages/pygments/lexers/carbon.py,carbon.py,library
