filename,package_manager,package_name,location,version
about-time,pip,about-time,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.2.1
aci-sdk,pip,aci-sdk,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.0.0b4
acres,pip,acres,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.5.0
affine,pip,affine,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.4.0
agentops,pip,agentops,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.3.26
aiodns,pip,aiodns,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.0.0
aiofiles,pip,aiofiles,/Users/steven/Library/Python/3.12/lib/python/site-packages,=24.1.0
aiohappyeyeballs,pip,aiohappyeyeballs,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.6.1
aiohttp,pip,aiohttp,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.10.11
aiohttp-retry,pip,aiohttp-retry,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.9.1
aiohttp_socks,pip,aiohttp_socks,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.11.0
aiolimiter,pip,aiolimiter,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.2.1
aiomysql,pip,aiomysql,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.3.2
aiosignal,pip,aiosignal,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.4.0
aiosqlite,pip,aiosqlite,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.20.0
alive-progress,pip,alive-progress,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.3.0
altair,pip,altair,/Users/steven/Library/Python/3.12/lib/python/site-packages,=6.1.0
amqp,pip,amqp,/Users/steven/Library/Python/3.12/lib/python/site-packages,=5.3.1
annotated-types,pip,annotated-types,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.7.0
anthropic,pip,anthropic,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.49.0
antlr4-python3-runtime,pip,antlr4-python3-runtime,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.13.2
anyio,pip,anyio,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.13.0
apify_client,pip,apify_client,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.12.2
apify_shared,pip,apify_shared,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.5.0
arabic-reshaper,pip,arabic-reshaper,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.0.1
arrow,pip,arrow,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.4.0
arxiv,pip,arxiv,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.4.1
arxiv2text,pip,arxiv2text,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.1.14
asgiref,pip,asgiref,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.11.1
asn1crypto,pip,asn1crypto,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.5.1
assemblyai,pip,assemblyai,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.45.5
astor,pip,astor,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.8.1
astroid,pip,astroid,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.0.1
async-timeout,pip,async-timeout,/Users/steven/Library/Python/3.12/lib/python/site-packages,=5.0.1
asyncio,pip,asyncio,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.4.3
attrs,pip,attrs,/Users/steven/Library/Python/3.12/lib/python/site-packages,=26.1.0
Authlib,pip,Authlib,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.6.7
autopep8,pip,autopep8,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.3.2
av,pip,av,/Users/steven/Library/Python/3.12/lib/python/site-packages,=15.1.0
azure-ai-documentintelligence,pip,azure-ai-documentintelligence,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.0.2
azure-ai-vision-imageanalysis,pip,azure-ai-vision-imageanalysis,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.0.0
azure-core,pip,azure-core,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.38.1
azure-identity,pip,azure-identity,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.25.2
azure-storage-blob,pip,azure-storage-blob,/Users/steven/Library/Python/3.12/lib/python/site-packages,=12.29.0
backoff,pip,backoff,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.2.1
banks,pip,banks,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.4.2
bcrypt,pip,bcrypt,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.2.0
beartype,pip,beartype,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.22.9
beautifulsoup4,pip,beautifulsoup4,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.14.3
bibtexparser,pip,bibtexparser,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.4.4
billiard,pip,billiard,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.2.4
black,pip,black,/Users/steven/Library/Python/3.12/lib/python/site-packages,=24.8.0
boto3,pip,boto3,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.43.8
botocore,pip,botocore,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.43.8
BTrees,pip,BTrees,/Users/steven/Library/Python/3.12/lib/python/site-packages,=6.3
build,pip,build,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.3.0
camel-ai,pip,camel-ai,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.2.90
canvasapi,pip,canvasapi,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.6.0
celery,pip,celery,/Users/steven/Library/Python/3.12/lib/python/site-packages,=5.4.0
certifi,pip,certifi,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2026.4.22
cffi,pip,cffi,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.0.0
cfgv,pip,cfgv,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.5.0
Chameleon,pip,Chameleon,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.6.0
chardet,pip,chardet,/Users/steven/Library/Python/3.12/lib/python/site-packages,=5.2.0
charset-normalizer,pip,charset-normalizer,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.4.7
chroma-hnswlib,pip,chroma-hnswlib,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.7.6
chromadb,pip,chromadb,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.6.3
chunkr-ai,pip,chunkr-ai,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.0.50
ci-info,pip,ci-info,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.4.0
claude-agent-sdk,pip,claude-agent-sdk,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.1.10
click,pip,click,/Users/steven/Library/Python/3.12/lib/python/site-packages,=8.3.1
click-default-group,pip,click-default-group,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.2.4
click-didyoumean,pip,click-didyoumean,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.3.1
click-plugins,pip,click-plugins,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.1.1.2
click-repl,pip,click-repl,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.3.0
cligj,pip,cligj,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.7.2
cloudpickle,pip,cloudpickle,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.1.2
cloudscraper,pip,cloudscraper,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.2.71
cobble,pip,cobble,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.1.4
cohere,pip,cohere,/Users/steven/Library/Python/3.12/lib/python/site-packages,=5.20.0
colorama,pip,colorama,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.4.6
coloredlogs,pip,coloredlogs,/Users/steven/Library/Python/3.12/lib/python/site-packages,=15.0.1
comm,pip,comm,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.2.3
commonmark,pip,commonmark,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.9.1
composio,pip,composio,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.9.3
composio-client,pip,composio-client,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.13.0
composio-langchain,pip,composio-langchain,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.9.3
condense-json,pip,condense-json,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.1.3
configobj,pip,configobj,/Users/steven/Library/Python/3.12/lib/python/site-packages,=5.0.9
configparser,pip,configparser,/Users/steven/Library/Python/3.12/lib/python/site-packages,=7.2.0
coverage,pip,coverage,/Users/steven/Library/Python/3.12/lib/python/site-packages,=7.13.4
Crawl4AI,pip,Crawl4AI,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.4.24
croniter,pip,croniter,/Users/steven/Library/Python/3.12/lib/python/site-packages,=6.0.0
cryptography,pip,cryptography,/Users/steven/Library/Python/3.12/lib/python/site-packages,=46.0.7
cssutils,pip,cssutils,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.15.0
ctranslate2,pip,ctranslate2,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.6.0
curl_cffi,pip,curl_cffi,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.15.0
currency-symbols,pip,currency-symbols,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.0.4
cyclopts,pip,cyclopts,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.5.1
dappier,pip,dappier,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.3.6
dashscope,pip,dashscope,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.25.17
dask,pip,dask,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2024.8.2
dataclasses-json,pip,dataclasses-json,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.6.7
datacommons-client,pip,datacommons-client,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.1.6
datasets,pip,datasets,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.6.0
daytona_api_client,pip,daytona_api_client,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.176.0
daytona_api_client_async,pip,daytona_api_client_async,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.176.0
daytona_sdk,pip,daytona_sdk,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.176.0
daytona_toolbox_api_client,pip,daytona_toolbox_api_client,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.176.0
daytona_toolbox_api_client_async,pip,daytona_toolbox_api_client_async,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.176.0
ddgs,pip,ddgs,/Users/steven/Library/Python/3.12/lib/python/site-packages,=9.10.0
debugpy,pip,debugpy,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.8.20
deepgram-sdk,pip,deepgram-sdk,/Users/steven/Library/Python/3.12/lib/python/site-packages,=5.3.0
deeptutor,pip,deeptutor,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.0.0
diffusers,pip,diffusers,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.25.1
dill,pip,dill,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.3.8
dirtyjson,pip,dirtyjson,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.0.8
discord.py,pip,discord.py,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.7.1
distlib,pip,distlib,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.4.0
distro,pip,distro,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.9.0
dnspython,pip,dnspython,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.8.0
docker,pip,docker,/Users/steven/Library/Python/3.12/lib/python/site-packages,=7.1.0
docstring_parser,pip,docstring_parser,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.17.0
docx,pip,docx,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.2.4
docx2txt,pip,docx2txt,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.8
duckdb,pip,duckdb,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.5.2
duckduckgo_search,pip,duckduckgo_search,/Users/steven/Library/Python/3.12/lib/python/site-packages,=8.1.1
durationpy,pip,durationpy,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.10
e2b,pip,e2b,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.11.1
e2b-code-interpreter,pip,e2b-code-interpreter,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.5.2
elevenlabs,pip,elevenlabs,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.21.0
email-validator,pip,email-validator,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.3.0
emoji,pip,emoji,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.15.0
encutils,pip,encutils,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.0.0
epam-indigo,pip,epam-indigo,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.36.1
etelemetry,pip,etelemetry,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.3.1
eval_type_backport,pip,eval_type_backport,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.3.1
exa-py,pip,exa-py,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.16.2
exceptiongroup,pip,exceptiongroup,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.3.1
faiss-cpu,pip,faiss-cpu,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.12.0
fake-http-header,pip,fake-http-header,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.3.5
fake-useragent,pip,fake-useragent,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.2.0
fakeredis,pip,fakeredis,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.33.0
fastapi,pip,fastapi,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.128.8
fastavro,pip,fastavro,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.12.1
faster-whisper,pip,faster-whisper,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.2.1
fastmcp,pip,fastmcp,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.14.5
fastuuid,pip,fastuuid,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.14.0
feedparser,pip,feedparser,/Users/steven/Library/Python/3.12/lib/python/site-packages,=6.0.12
ffmpy,pip,ffmpy,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.0.0
filelock,pip,filelock,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.20.3
filetype,pip,filetype,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.2.0
firecrawl-py,pip,firecrawl-py,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.17.0
fish-audio-sdk,pip,fish-audio-sdk,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.3.0
fitz,pip,fitz,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.0.1.dev2
flake8,pip,flake8,/Users/steven/Library/Python/3.12/lib/python/site-packages,=7.3.0
Flask,pip,Flask,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.1.3
flatbuffers,pip,flatbuffers,/Users/steven/Library/Python/3.12/lib/python/site-packages,=25.9.23
free_proxy,pip,free_proxy,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.1.3
freetype-py,pip,freetype-py,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.5.1
frozenlist,pip,frozenlist,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.8.0
fsspec,pip,fsspec,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2025.3.0
future-annotations,pip,future-annotations,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.0.0
gensim,pip,gensim,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.3.3
geojson,pip,geojson,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.2.0
git-filter-repo,pip,git-filter-repo,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.47.0
GitPython,pip,GitPython,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.1.46
google-ai-generativelanguage,pip,google-ai-generativelanguage,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.6.15
google-api-python-client,pip,google-api-python-client,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.166.0
google-auth,pip,google-auth,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.52.0
google-auth-oauthlib,pip,google-auth-oauthlib,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.2.1
google-cloud-aiplatform,pip,google-cloud-aiplatform,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.153.0
google-cloud-bigquery,pip,google-cloud-bigquery,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.41.0
google-cloud-core,pip,google-cloud-core,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.6.0
google-cloud-resource-manager,pip,google-cloud-resource-manager,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.17.0
google-cloud-storage,pip,google-cloud-storage,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.19.0
google-cloud-vision,pip,google-cloud-vision,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.13.0
google-crc32c,pip,google-crc32c,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.8.0
google-genai,pip,google-genai,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.2.0
google-generativeai,pip,google-generativeai,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.8.5
google-resumable-media,pip,google-resumable-media,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.9.0
google_search_results,pip,google_search_results,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.4.2
googleapis-common-protos,pip,googleapis-common-protos,/Users/steven/Library/Python/3.12/lib/python/site-packages,=1.75.0
googlemaps,pip,googlemaps,/Users/steven/Library/Python/3.12/lib/python/site-packages,=4.10.0
gradio,pip,gradio,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.36.1
gradio_client,pip,gradio_client,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.5.0
graphemeu,pip,graphemeu,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.7.2
graphql-core,pip,graphql-core,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.2.7
graphviz,pip,graphviz,/Users/steven/Library/Python/3.12/lib/python/site-packages,=0.21
greenlet,pip,greenlet,/Users/steven/Library/Python/3.12/lib/python/site-packages,=3.3.1
griffe,pip,griffe,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.0.2
griffecli,pip,griffecli,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.0.2
griffelib,pip,griffelib,/Users/steven/Library/Python/3.12/lib/python/site-packages,=2.0.2
grok,pip,grok,/Users/steven/Library/Python/3.12/lib/python/site-packages,=6.1
