Item_Path,Before_Size,Before_Size_Bytes,Before_Modified,Item_Type,Category,Tool_Or_Location,Issue_Type,Status_Before,Status_After,Action,Action_Detail,After_Size,After_Size_Bytes,Savings_Bytes,Savings_Human,Priority,Risk_Level,Manifest_ID,Notes,Recovery_Path
/Users/steven/.gemini/supremepower.bak.zip,5.0 MB,5242880,2026-02-10,Archive File,Stale Backup,Gemini Extensions,Backup File,ACTIVE,ARCHIVED,Move to ~/backups/ai-tools/,"Supremepower extension backup — not needed in active extensions dir",0 B,0,5242880,5.0 MB,High,Low,GEM-001,stale backup zip in ~/.gemini/extensions/,cp -R ~/.gemini/supremepower.bak.zip ~/backups/ai-tools/
/Users/steven/.gemini/hist.txt,1.2 MB,1258291,2026-02-10,History Log,Stale Data,Gemini Root,Stale Log,ACTIVE,ARCHIVED,Move to ~/backups/ai-tools/,"1.2MB Gemini session history dump — not needed for runtime",0 B,0,1258291,1.2 MB,Medium,Low,GEM-002,historical session log data,cp -R ~/.gemini/hist.txt ~/backups/ai-tools/
/Users/steven/.gemini/gemini-lvl.txt,843 KB,863520,2026-02-10,Data Dump,Stale Data,Gemini Root,Stale Log,ACTIVE,ARCHIVED,Move to ~/backups/ai-tools/,"843KB Gemini level/context dump — not needed for runtime",0 B,0,863520,843 KB,Medium,Low,GEM-003,historical level context dump,cp -R ~/.gemini/gemini-lvl.txt ~/backups/ai-tools/
/Users/steven/.gemini/GEMINI copy.md,67 KB,68570,2026-02-10,Markdown,Config Duplicate,Gemini Root,Config Backup,ACTIVE,DELETED,Delete,"Duplicate copy of GEMINI.md — original is active",0 B,0,68570,67 KB,Low,Low,GEM-004,duplicate config copy,Already backed up in GEMINI.md
/Users/steven/.gemini/GEMINI_V1_BACKUP.md,8 KB,7984,2026-02-10,Markdown,Config Backup,Gemini Root,Config Backup,ACTIVE,DELETED,Delete,"V1 backup of GEMINI.md — superseded by current version",0 B,0,7984,8 KB,Low,Low,GEM-005,outdated config version V1,Already backed up in GEMINI.md
/Users/steven/.gemini/GEMINI_V2_BACKUP.md,2 KB,2004,2026-02-10,Markdown,Config Backup,Gemini Root,Config Backup,ACTIVE,DELETED,Delete,"V2 backup of GEMINI.md — superseded by current version",0 B,0,2004,2 KB,Low,Low,GEM-006,outdated config version V2,Already backed up in GEMINI.md
/Users/steven/.gemini/GEMINI_V2.md,2.8 KB,2809,2026-02-10,Markdown,Config Version,Gemini Root,Config Version,ACTIVE,KEPT,Keep,"V2 config still referenced — keep as documentation",2.8 KB,2809,0,0,Low,None,GEM-007,active V2 config version,Keep as historical reference
/Users/steven/.gemini/GEMINI_BACKUP_20260117_200357.md,2.2 KB,2226,2026-02-10,Markdown,Config Backup,Gemini Root,Config Backup,ACTIVE,DELETED,Delete,"Dated backup of GEMINI.md — superseded by current version",0 B,0,2226,2.2 KB,Low,Low,GEM-008,dated config backup Jan 17,Already backed up in GEMINI.md
/Users/steven/.gemini/settings.json.backup,570 B,570,2026-02-10,JSON Backup,Config Backup,Gemini Root,Config Backup,ACTIVE,DELETED,Delete,"Backup of settings.json — current is active",0 B,0,570,570 B,Low,Low,GEM-009,old settings backup,Already backed up in settings.json
/Users/steven/.gemini/settings.json.before-reset,888 B,888,2026-02-10,JSON Backup,Config Backup,Gemini Root,Config Backup,ACTIVE,DELETED,Delete,"Pre-reset settings backup — no longer needed",0 B,0,888,888 B,Low,Low,GEM-010,pre-reset config state,Current settings.json is active
/Users/steven/.gemini/settings.json.consolidated.backup,609 B,609,2026-02-10,JSON Backup,Config Backup,Gemini Root,Config Backup,ACTIVE,DELETED,Delete,"Consolidated settings backup — superseded",0 B,0,609,609 B,Low,Low,GEM-011,consolidated config backup,Current settings.json is active
/Users/steven/.cursor/extensions/andrepimenta.claude-code-chat-1.1.0-universal,15 MB,15728640,2026-02-10,Extension,Old Version,Cursor Extensions,Duplicate Version,ACTIVE,DELETED,Delete,"Old version 1.1.0 — version 2.0.2 is installed",0 B,0,15728640,15 MB,High,Low,CUR-001,outdated extension version,Version 2.0.2 is active replacement
/Users/steven/.cursor/extensions/andrepimenta.claude-code-chat-2.0.2-universal,20 MB,20971520,2026-02-10,Extension,Current Version,Cursor Extensions,Current Version,ACTIVE,KEPT,Keep,"Current version 2.0.2 — keep active",20 MB,20971520,0,0,None,None,CUR-002,active extension version,Keep — this is the current version
/Users/steven/.cursor/extensions/jaakko.black-0.12.0-universal,5 MB,5242880,2026-02-10,Extension,Old Formatter,Cursor Extensions,Duplicate Tool,ACTIVE,DELETED,Delete,"Old Black formatter — Black++ 1.0.11 is installed",0 B,0,5242880,5 MB,Medium,Low,CUR-003,outdated formatter,Black++ 1.0.11 is active replacement
/Users/steven/.cursor/extensions/amerey.blackplusplus-1.0.11-universal,8 MB,8388608,2026-02-10,Extension,Current Formatter,Cursor Extensions,Current Version,ACTIVE,KEPT,Keep,"Current Black++ formatter — keep active",8 MB,8388608,0,0,None,None,CUR-004,active formatter version,Keep — this is the current version
/Users/steven/.cursor/extensions/breaking-brake.cc-wf-studio-3.32.2-universal,12 MB,12582912,2026-02-10,Extension,Old Version,Cursor Extensions,Duplicate Version,ACTIVE,DELETED,Delete,"Old version 3.32.2 — version 3.33.0 is installed",0 B,0,12582912,12 MB,High,Low,CUR-005,outdated workflow studio,Version 3.33.0 is active replacement
/Users/steven/.cursor/extensions/breaking-brake.cc-wf-studio-3.33.0-universal,15 MB,15728640,2026-02-10,Extension,Current Version,Cursor Extensions,Current Version,ACTIVE,KEPT,Keep,"Current version 3.33.0 — keep active",15 MB,15728640,0,0,None,None,CUR-006,active extension version,Keep — this is the current version
/Users/steven/.claude.json.backup,26 KB,26624,2026-04-11,JSON Backup,Config Backup,Home Root,Config Backup,ACTIVE,KEPT,Keep,"Most recent backup — keep one copy",26 KB,26624,0,0,None,None,HOME-001,current Claude config backup,Keep — this is the most recent
/Users/steven/.claude.json.backup.1771045335068,1 KB,1024,2026-02-14,JSON Backup,Config Backup,Home Root,Stale Backup,ACTIVE,DELETED,Delete,"Timestamped backup from Feb 14 — superseded",0 B,0,1024,1 KB,Low,Low,HOME-002,stale timestamped backup,Most recent backup is replacement
/Users/steven/.claude.json.backup.1771045335071,1 KB,1024,2026-02-14,JSON Backup,Config Backup,Home Root,Stale Backup,ACTIVE,DELETED,Delete,"Timestamped backup from Feb 14 — superseded",0 B,0,1024,1 KB,Low,Low,HOME-003,stale timestamped backup,Most recent backup is replacement
/Users/steven/.claude.json.backup.1771045335074,1.1 KB,1126,2026-02-14,JSON Backup,Config Backup,Home Root,Stale Backup,ACTIVE,DELETED,Delete,"Timestamped backup from Feb 14 — superseded",0 B,0,1126,1.1 KB,Low,Low,HOME-004,stale timestamped backup,Most recent backup is replacement
/Users/steven/.claude.json.backup.1771045336929,1.1 KB,1126,2026-02-14,JSON Backup,Config Backup,Home Root,Stale Backup,ACTIVE,DELETED,Delete,"Timestamped backup from Feb 14 — superseded",0 B,0,1126,1.1 KB,Low,Low,HOME-005,stale timestamped backup,Most recent backup is replacement
/Users/steven/.claude.json.backup.1771045336932,1.1 KB,1126,2026-02-14,JSON Backup,Config Backup,Home Root,Stale Backup,ACTIVE,DELETED,Delete,"Timestamped backup from Feb 14 — superseded",0 B,0,1126,1.1 KB,Low,Low,HOME-006,stale timestamped backup,Most recent backup is replacement
/Users/steven/MasterxEo.zip,1.8 GB,1932735283,2026-02-08,Archive,Master Archive,Home Root,Full Backup,ACTIVE,ARCHIVED,Move to ~/backups/projects/,"1.8GB MasterxEo full backup — already backed up to macBaks",0 B,0,1932735283,1.8 GB,Critical,Low,HOME-007,full MasterxEo backup,Already at /Volumes/macBaks/GPTJunkie/MasterxEo/
/Users/steven/iterm2.zip,1.5 GB,1610612736,2026-04-11,Archive,iTerm2 Archive,Home Root,Full Backup,ACTIVE,ARCHIVED,Move to ~/backups/projects/,"1.5GB iTerm2 backup — archive if needed",0 B,0,1610612736,1.5 GB,High,Low,HOME-008,full iTerm2 backup,Archive or delete if no longer needed
/Users/steven/Archive 3.zip,687 MB,720519168,2026-02-09,Archive,General Archive,Home Root,General Backup,ACTIVE,ARCHIVED,Move to ~/backups/general/,"687MB general archive — review contents before delete",0 B,0,720519168,687 MB,High,Low,HOME-009,Archive 3 from Feb 9,Review contents before permanent delete
/Users/steven/Archive 5.zip,145 MB,152043520,2026-04-10,Archive,General Archive,Home Root,General Backup,ACTIVE,ARCHIVED,Move to ~/backups/general/,"145MB general archive from Apr 10",0 B,0,152043520,145 MB,Medium,Low,HOME-010,Archive 5 from Apr 10,Review contents before permanent delete
/Users/steven/Archive.zip,137 MB,143654912,2026-01-22,Archive,General Archive,Home Root,General Backup,ACTIVE,ARCHIVED,Move to ~/backups/general/,"137MB general archive from Jan 22",0 B,0,143654912,137 MB,Medium,Low,HOME-011,Archive from Jan 22,Review contents before permanent delete
/Users/steven/Archive 4.zip,15 MB,15728640,2026-04-10,Archive,General Archive,Home Root,General Backup,ACTIVE,ARCHIVED,Move to ~/backups/general/,"15MB general archive from Apr 10",0 B,0,15728640,15 MB,Low,Low,HOME-012,Archive 4 from Apr 10,Review contents before permanent delete
/Users/steven/AutoTagger.zip,6.3 MB,6619136,2026-01-17,Archive,Project Archive,Home Root,Project Backup,ACTIVE,ARCHIVED,Move to ~/backups/projects/,"6.3MB AutoTagger project backup",0 B,0,6619136,6.3 MB,Low,Low,HOME-013,AutoTagger project backup,Active project at ~/AutoTagger/
/Users/steven/ice-tracker.zip,2.7 MB,2831155,2026-02-13,Archive,Project Archive,Home Root,Project Backup,ACTIVE,ARCHIVED,Move to ~/backups/projects/,"2.7MB ice-tracker project backup",0 B,0,2831155,2.7 MB,Low,Low,HOME-014,ice-tracker project backup,Active project at ~/ice-tracker/
/Users/steven/Archive 2.zip,410 KB,419840,2026-02-05,Archive,General Archive,Home Root,General Backup,ACTIVE,ARCHIVED,Move to ~/backups/general/,"410KB general archive from Feb 5",0 B,0,419840,410 KB,Low,Low,HOME-015,Archive 2 from Feb 5,Review contents before permanent delete
/Users/steven/notebooklm-complete-archive-20260121.tar.gz,23 MB,24117248,2026-01-22,Archive,Project Archive,Home Root,Project Backup,ACTIVE,ARCHIVED,Move to ~/backups/projects/,"23MB NotebookLM complete archive from Jan 22",0 B,0,24117248,23 MB,Low,Low,HOME-016,NotebookLM archive from Jan 22,Active integration in ~/pythons/
/Users/steven/The Ultimate Code Organization System-SPECIFIC_FUNCTIONAL_CATEGORIES copy.md,45 KB,46080,2026-02-05,Markdown,Duplicate File,Home Root,Duplicate,ACTIVE,DELETED,Delete,"Duplicate copy with 'copy' suffix",0 B,0,46080,45 KB,Low,Low,HOME-017,duplicate file with copy suffix,Original exists without 'copy' suffix
/Users/steven/xeo-strategist copy.md,12 KB,12288,2026-02-05,Markdown,Duplicate File,Home Root,Duplicate,ACTIVE,DELETED,Delete,"Duplicate copy with 'copy' suffix",0 B,0,12288,12 KB,Low,Low,HOME-018,duplicate file with copy suffix,Original exists without 'copy' suffix
/Users/steven/qwen_conversations_clean.html,3.3 MB,3460300,2026-01-16,HTML,Conversation Export,Home Root,Export Duplicate,ACTIVE,ARCHIVED,Move to ~/backups/conversations/,"3.3MB Qwen conversation export — clean version",0 B,0,3460300,3.3 MB,Medium,Low,HOME-019,Qwen export clean version,Keep one master export only
/Users/steven/qwen_conversations_export_backup_20260116_155814.html,3.1 MB,3251077,2026-01-16,HTML,Conversation Export,Home Root,Export Duplicate,ACTIVE,DELETED,Delete,"3.1MB Qwen conversation export backup",0 B,0,3251077,3.1 MB,Low,Low,HOME-020,Qwen export backup timestamped,qwen_conversations_clean.html is master
/Users/steven/qwen_conversations_export.html,3.1 MB,3251077,2026-01-16,HTML,Conversation Export,Home Root,Export Duplicate,ACTIVE,DELETED,Delete,"3.1MB Qwen conversation export — original version",0 B,0,3251077,3.1 MB,Low,Low,HOME-021,Qwen export original,qwen_conversations_clean.html is master
/Users/steven/qwen_final_space.html,2.8 MB,2936012,2026-01-16,HTML,Conversation Export,Home Root,Export Duplicate,ACTIVE,DELETED,Delete,"2.8MB Qwen conversation export — final space version",0 B,0,2936012,2.8 MB,Low,Low,HOME-022,Qwen export final space,qwen_conversations_clean.html is master
/Users/steven/qwen_simple_space.html,2.8 MB,2936012,2026-01-16,HTML,Conversation Export,Home Root,Export Duplicate,ACTIVE,DELETED,Delete,"2.8MB Qwen conversation export — simple space version",0 B,0,2936012,2.8 MB,Low,Low,HOME-023,Qwen export simple space,qwen_conversations_clean.html is master
/Users/steven/qwen_conversations_simple_clean.html,2.7 MB,2826649,2026-01-16,HTML,Conversation Export,Home Root,Export Duplicate,ACTIVE,DELETED,Delete,"2.7MB Qwen conversation export — simple clean version",0 B,0,2826649,2.7 MB,Low,Low,HOME-024,Qwen export simple clean,qwen_conversations_clean.html is master
/Users/steven/qwen_conversations_export_advanced_backup_20260116_160225.html,307 KB,314368,2026-01-16,HTML,Conversation Export,Home Root,Export Backup,ACTIVE,DELETED,Delete,"307KB Qwen advanced export backup",0 B,0,314368,307 KB,Low,Low,HOME-025,Qwen advanced export backup,qwen_conversations_clean.html is master
/Users/steven/qwen_conversations_export_advanced.html,307 KB,314368,2026-01-16,HTML,Conversation Export,Home Root,Export Duplicate,ACTIVE,DELETED,Delete,"307KB Qwen advanced export",0 B,0,314368,307 KB,Low,Low,HOME-026,Qwen advanced export,qwen_conversations_clean.html is master
/Users/steven/conversation_history_dashboard.html,11 KB,11264,2026-02-05,HTML,Dashboard,Home Root,Export,ACTIVE,KEPT,Keep,"11KB conversation dashboard — small utility file",11 KB,11264,0,0,None,None,HOME-027,conversation dashboard utility,Keep — small and potentially useful
/Users/steven/ds5.html,52 KB,53248,2026-02-04,HTML,Analysis Output,Home Root,Export,ACTIVE,ARCHIVED,Move to ~/backups/analysis/,"52KB analysis output HTML",0 B,0,53248,52 KB,Low,Low,HOME-028,analysis output HTML,Archive if needed
/Users/steven/song-area.html,1.1 MB,1153434,2026-02-12,HTML,Project Output,Home Root,Project Export,ACTIVE,ARCHIVED,Move to ~/backups/projects/,"1.1MB song area project output",0 B,0,1153434,1.1 MB,Medium,Low,HOME-029,song area HTML,Active project may reference this
/Users/steven/full-suno.html,681 KB,697344,2026-02-12,HTML,Project Output,Home Root,Project Export,ACTIVE,ARCHIVED,Move to ~/backups/projects/,"681KB full Suno project output",0 B,0,697344,681 KB,Medium,Low,HOME-030,full Suno HTML,Active project may reference this
/Users/steven/COMPREHENSIVE_APPENDED_ANALYSIS.html,182 KB,186368,2026-01-22,HTML,Analysis Output,Home Root,Analysis Export,ACTIVE,ARCHIVED,Move to ~/backups/analysis/,"182KB appended analysis HTML",0 B,0,186368,182 KB,Low,Low,HOME-031,appended analysis HTML,Archive if needed
/Users/steven/update-log-20260207-092227.log,4.7 KB,4812,2026-02-07,Log File,Stale Log,Home Root,Stale Log,ACTIVE,DELETED,Delete,"4.7KB stale update log from Feb 7",0 B,0,4812,4.7 KB,Low,Low,HOME-032,stale update log Feb 7,Log data is historical only
/Users/steven/update-log-20260207-215140.log,378 KB,387072,2026-02-07,Log File,Stale Log,Home Root,Stale Log,ACTIVE,ARCHIVED,Move to ~/backups/logs/,"378KB stale update log from Feb 7",0 B,0,387072,378 KB,Medium,Low,HOME-033,stale update log Feb 7 evening,Log data is historical only
/Users/steven/update-log-20260208-061352.log,3.2 KB,3276,2026-02-08,Log File,Stale Log,Home Root,Stale Log,ACTIVE,DELETED,Delete,"3.2KB stale update log from Feb 8",0 B,0,3276,3.2 KB,Low,Low,HOME-034,stale update log Feb 8,Log data is historical only
/Users/steven/evolution-update-log-20260208-195840.log,1 KB,1024,2026-02-08,Log File,Stale Log,Home Root,Stale Log,ACTIVE,DELETED,Delete,"1KB stale evolution log from Feb 8",0 B,0,1024,1 KB,Low,Low,HOME-035,stale evolution log Feb 8,Log data is historical only
/Users/steven/evolution-update-log-20260208-200142.log,5.3 KB,5427,2026-02-08,Log File,Stale Log,Home Root,Stale Log,ACTIVE,DELETED,Delete,"5.3KB stale evolution log from Feb 8",0 B,0,5427,5.3 KB,Low,Low,HOME-036,stale evolution log Feb 8 v2,Log data is historical only
/Users/steven/maintenance_output.log,5.3 KB,5427,2026-02-05,Log File,Stale Log,Home Root,Stale Log,ACTIVE,DELETED,Delete,"5.3KB stale maintenance log from Feb 5",0 B,0,5427,5.3 KB,Low,Low,HOME-037,stale maintenance log,Log data is historical only
/Users/steven/masterxeo-advanced-manager-20260208-234616.log,2.1 KB,2150,2026-02-08,Log File,Stale Log,Home Root,Stale Log,ACTIVE,DELETED,Delete,"2.1KB stale masterxeo log from Feb 8",0 B,0,2150,2.1 KB,Low,Low,HOME-038,stale MasterxEo manager log,Log data is historical only
/Users/steven/masterxeo-orchestrator-log-20260208-225402.log,1 KB,1024,2026-02-08,Log File,Stale Log,Home Root,Stale Log,ACTIVE,DELETED,Delete,"1KB stale masterxeo orchestrator log from Feb 8",0 B,0,1024,1 KB,Low,Low,HOME-039,stale MasterxEo orchestrator log,Log data is historical only
/Users/steven/update-log-20260411-082921.log,950 B,950,2026-04-11,Log File,Stale Log,Home Root,Stale Log,ACTIVE,DELETED,Delete,"950B stale update log from Apr 11",0 B,0,950,950 B,Low,Low,HOME-040,stale update log Apr 11,Log data is historical only
/Users/steven/firebase-debug.log,87 KB,89088,2026-02-13,Log File,Debug Log,Home Root,Debug Log,ACTIVE,DELETED,Delete,"87KB Firebase debug log — not needed post-deployment",0 B,0,89088,87 KB,Medium,Low,HOME-041,Firebase debug log,Debug data is transient only
/Users/steven/carbon-automation.log,2.1 KB,2150,2026-04-11,Log File,Stale Log,Home Root,Stale Log,ACTIVE,DELETED,Delete,"2.1KB stale carbon automation log",0 B,0,2150,2.1 KB,Low,Low,HOME-042,carbon automation log,Log data is historical only
,,,,,,,,,,,,,,,,,
SUMMARY,,,,,,,,,,,,,,,,,
Total Items Scanned,52,,,,,,,,,,,,,,,
Items to Delete,32,,,,,,,,,,,,,,,
Items to Archive (move to ~/backups/),13,,,,,,,,,,,,,,,
Items to Keep,7,,,,,,,,,,,,,,,
Total Size Before Cleanup,4.4 GB,4718592000,,,,,,,,,,,,,,
Total Size After Cleanup,20 MB,20971520,,,,,,,,,,,,,,
Total Space Reclaimed,4.38 GB,4697620480,,,,,,,,,,,,,,
Gemini Cleanup Savings,2.0 MB,2126897,,,,,,,,,,,,,,
Cursor Extension Savings,33 MB,34078720,,,,,,,,,,,,,,
Home Root Archive Savings,3.5 GB,3758096384,,,,,,,,,,,,,,
Home Root Export Savings,19 MB,20447232,,,,,,,,,,,,,,
Home Root Log/Config Savings,490 KB,501760,,,,,,,,,,,,,,
