filename,package_manager,location,version
about-time,pip,unknown,4.2.1
aci-sdk,pip,unknown,1.0.0b4
acres,pip,unknown,0.5.0
affine,pip,unknown,2.4.0
agentops,pip,unknown,0.3.26
aiodns,pip,unknown,4.0.0
aiofiles,pip,unknown,24.1.0
aiohappyeyeballs,pip,unknown,2.6.1
aiohttp,pip,unknown,3.10.11
aiohttp-retry,pip,unknown,2.9.1
aiohttp_socks,pip,unknown,0.11.0
aiolimiter,pip,unknown,1.2.1
aiomysql,pip,unknown,0.3.2
aiosignal,pip,unknown,1.4.0
aiosqlite,pip,unknown,0.20.0
alive-progress,pip,unknown,3.3.0
altair,pip,unknown,6.1.0
amqp,pip,unknown,5.3.1
annotated-types,pip,unknown,0.7.0
anthropic,pip,unknown,0.49.0
antlr4-python3-runtime,pip,unknown,4.13.2
anyio,pip,unknown,4.13.0
apify_client,pip,unknown,1.12.2
apify_shared,pip,unknown,1.5.0
arabic-reshaper,pip,unknown,3.0.1
arrow,pip,unknown,1.4.0
arxiv,pip,unknown,2.4.1
arxiv2text,pip,unknown,0.1.14
asgiref,pip,unknown,3.11.1
asn1crypto,pip,unknown,1.5.1
assemblyai,pip,unknown,0.45.5
astor,pip,unknown,0.8.1
astroid,pip,unknown,4.0.1
async-timeout,pip,unknown,5.0.1
asyncio,pip,unknown,3.4.3
attrs,pip,unknown,26.1.0
Authlib,pip,unknown,1.6.7
autopep8,pip,unknown,2.3.2
av,pip,unknown,15.1.0
azure-ai-documentintelligence,pip,unknown,1.0.2
azure-ai-vision-imageanalysis,pip,unknown,1.0.0
azure-core,pip,unknown,1.38.1
azure-identity,pip,unknown,1.25.2
azure-storage-blob,pip,unknown,12.29.0
backoff,pip,unknown,2.2.1
banks,pip,unknown,2.4.2
bcrypt,pip,unknown,4.2.0
beartype,pip,unknown,0.22.9
beautifulsoup4,pip,unknown,4.14.3
bibtexparser,pip,unknown,1.4.4
billiard,pip,unknown,4.2.4
black,pip,unknown,24.8.0
boto3,pip,unknown,1.43.8
botocore,pip,unknown,1.43.8
BTrees,pip,unknown,6.3
build,pip,unknown,1.3.0
camel-ai,pip,unknown,0.2.90
canvasapi,pip,unknown,3.6.0
celery,pip,unknown,5.4.0
certifi,pip,unknown,2026.4.22
cffi,pip,unknown,2.0.0
cfgv,pip,unknown,3.5.0
Chameleon,pip,unknown,4.6.0
chardet,pip,unknown,5.2.0
charset-normalizer,pip,unknown,3.4.7
chroma-hnswlib,pip,unknown,0.7.6
chromadb,pip,unknown,0.6.3
chunkr-ai,pip,unknown,0.0.50
ci-info,pip,unknown,0.4.0
claude-agent-sdk,pip,unknown,0.1.10
click,pip,unknown,8.3.1
click-default-group,pip,unknown,1.2.4
click-didyoumean,pip,unknown,0.3.1
click-plugins,pip,unknown,1.1.1.2
click-repl,pip,unknown,0.3.0
cligj,pip,unknown,0.7.2
cloudpickle,pip,unknown,3.1.2
cloudscraper,pip,unknown,1.2.71
cobble,pip,unknown,0.1.4
cohere,pip,unknown,5.20.0
colorama,pip,unknown,0.4.6
coloredlogs,pip,unknown,15.0.1
comm,pip,unknown,0.2.3
commonmark,pip,unknown,0.9.1
composio,pip,unknown,0.9.3
composio-client,pip,unknown,1.13.0
composio-langchain,pip,unknown,0.9.3
condense-json,pip,unknown,0.1.3
configobj,pip,unknown,5.0.9
configparser,pip,unknown,7.2.0
coverage,pip,unknown,7.13.4
Crawl4AI,pip,unknown,0.4.24
croniter,pip,unknown,6.0.0
cryptography,pip,unknown,46.0.7
cssutils,pip,unknown,2.15.0
ctranslate2,pip,unknown,4.6.0
curl_cffi,pip,unknown,0.15.0
currency-symbols,pip,unknown,2.0.4
cyclopts,pip,unknown,4.5.1
dappier,pip,unknown,0.3.6
dashscope,pip,unknown,1.25.17
dask,pip,unknown,2024.8.2
dataclasses-json,pip,unknown,0.6.7
datacommons-client,pip,unknown,2.1.6
datasets,pip,unknown,3.6.0
daytona_api_client,pip,unknown,0.176.0
daytona_api_client_async,pip,unknown,0.176.0
daytona_sdk,pip,unknown,0.176.0
daytona_toolbox_api_client,pip,unknown,0.176.0
daytona_toolbox_api_client_async,pip,unknown,0.176.0
ddgs,pip,unknown,9.10.0
debugpy,pip,unknown,1.8.20
deepgram-sdk,pip,unknown,5.3.0
deeptutor,pip,unknown,1.0.0
diffusers,pip,unknown,0.25.1
dill,pip,unknown,0.3.8
dirtyjson,pip,unknown,1.0.8
discord.py,pip,unknown,2.7.1
distlib,pip,unknown,0.4.0
distro,pip,unknown,1.9.0
dnspython,pip,unknown,2.8.0
docker,pip,unknown,7.1.0
docstring_parser,pip,unknown,0.17.0
docx,pip,unknown,0.2.4
docx2txt,pip,unknown,0.8
duckdb,pip,unknown,1.5.2
duckduckgo_search,pip,unknown,8.1.1
durationpy,pip,unknown,0.10
e2b,pip,unknown,1.11.1
e2b-code-interpreter,pip,unknown,1.5.2
elevenlabs,pip,unknown,2.21.0
email-validator,pip,unknown,2.3.0
emoji,pip,unknown,2.15.0
encutils,pip,unknown,1.0.0
epam-indigo,pip,unknown,1.36.1
etelemetry,pip,unknown,0.3.1
eval_type_backport,pip,unknown,0.3.1
exa-py,pip,unknown,1.16.2
exceptiongroup,pip,unknown,1.3.1
faiss-cpu,pip,unknown,1.12.0
fake-http-header,pip,unknown,0.3.5
fake-useragent,pip,unknown,2.2.0
fakeredis,pip,unknown,2.33.0
fastapi,pip,unknown,0.128.8
fastavro,pip,unknown,1.12.1
faster-whisper,pip,unknown,1.2.1
fastmcp,pip,unknown,2.14.5
fastuuid,pip,unknown,0.14.0
feedparser,pip,unknown,6.0.12
ffmpy,pip,unknown,1.0.0
filelock,pip,unknown,3.20.3
filetype,pip,unknown,1.2.0
firecrawl-py,pip,unknown,1.17.0
fish-audio-sdk,pip,unknown,1.3.0
fitz,pip,unknown,0.0.1.dev2
flake8,pip,unknown,7.3.0
Flask,pip,unknown,3.1.3
flatbuffers,pip,unknown,25.9.23
free_proxy,pip,unknown,1.1.3
freetype-py,pip,unknown,2.5.1
frozenlist,pip,unknown,1.8.0
fsspec,pip,unknown,2025.3.0
future-annotations,pip,unknown,1.0.0
gensim,pip,unknown,4.3.3
geojson,pip,unknown,3.2.0
git-filter-repo,pip,unknown,2.47.0
GitPython,pip,unknown,3.1.46
google-ai-generativelanguage,pip,unknown,0.6.15
google-api-python-client,pip,unknown,2.166.0
google-auth,pip,unknown,2.52.0
google-auth-oauthlib,pip,unknown,1.2.1
google-cloud-aiplatform,pip,unknown,1.153.0
google-cloud-bigquery,pip,unknown,3.41.0
google-cloud-core,pip,unknown,2.6.0
google-cloud-resource-manager,pip,unknown,1.17.0
google-cloud-storage,pip,unknown,2.19.0
google-cloud-vision,pip,unknown,3.13.0
google-crc32c,pip,unknown,1.8.0
google-genai,pip,unknown,2.2.0
google-generativeai,pip,unknown,0.8.5
google-resumable-media,pip,unknown,2.9.0
google_search_results,pip,unknown,2.4.2
googleapis-common-protos,pip,unknown,1.75.0
googlemaps,pip,unknown,4.10.0
gradio,pip,unknown,3.36.1
gradio_client,pip,unknown,2.5.0
graphemeu,pip,unknown,0.7.2
graphql-core,pip,unknown,3.2.7
graphviz,pip,unknown,0.21
greenlet,pip,unknown,3.3.1
griffe,pip,unknown,2.0.2
griffecli,pip,unknown,2.0.2
griffelib,pip,unknown,2.0.2
grok,pip,unknown,6.1
grokcore.annotation,pip,unknown,5.0
grokcore.catalog,pip,unknown,5.0
grokcore.chameleon,pip,unknown,5.0
grokcore.component,pip,unknown,5.0
grokcore.content,pip,unknown,5.0
grokcore.formlib,pip,unknown,5.0
grokcore.layout,pip,unknown,5.0
grokcore.message,pip,unknown,5.0
grokcore.security,pip,unknown,5.0
grokcore.site,pip,unknown,5.0
grokcore.traverser,pip,unknown,5.0
grokcore.view,pip,unknown,5.0
grokcore.viewlet,pip,unknown,5.0
groq,pip,unknown,1.0.0
grpc-google-iam-v1,pip,unknown,0.14.4
grpcio,pip,unknown,1.80.0
grpcio-health-checking,pip,unknown,1.80.0
grpcio-status,pip,unknown,1.80.0
gspread,pip,unknown,6.2.1
h11,pip,unknown,0.16.0
h2,pip,unknown,4.3.0
hf-xet,pip,unknown,1.2.0
hpack,pip,unknown,4.1.0
html2text,pip,unknown,2025.4.15
html5lib,pip,unknown,1.1
httpcore,pip,unknown,1.0.9
httplib2,pip,unknown,0.31.2
httptools,pip,unknown,0.7.1
httpx,pip,unknown,0.28.1
httpx-sse,pip,unknown,0.4.0
huggingface_hub,pip,unknown,0.36.2
humanfriendly,pip,unknown,10.0
hyperframe,pip,unknown,6.1.0
ibm-cos-sdk,pip,unknown,2.14.3
ibm-cos-sdk-core,pip,unknown,2.14.3
ibm-cos-sdk-s3transfer,pip,unknown,2.14.3
ibm_watsonx_ai,pip,unknown,1.5.11
identify,pip,unknown,2.6.16
idna,pip,unknown,3.15
ImageHash,pip,unknown,4.3.2
ImageIO,pip,unknown,2.37.3
importlib_metadata,pip,unknown,8.7.1
importlib_resources,pip,unknown,6.5.2
inferless,pip,unknown,0.2.15
inferless-cli,pip,unknown,2.0.22
iniconfig,pip,unknown,2.3.0
invoke,pip,unknown,2.2.1
ipykernel,pip,unknown,6.31.0
ipython_pygments_lexers,pip,unknown,1.1.1
isodate,pip,unknown,0.7.2
isort,pip,unknown,7.0.0
jiter,pip,unknown,0.14.0
jmespath,pip,unknown,1.0.1
joblib,pip,unknown,1.5.2
json5,pip,unknown,0.13.0
jsonpatch,pip,unknown,1.33
jsonpath-ng,pip,unknown,1.7.0
jsonpickle,pip,unknown,4.1.1
jsonpointer,pip,unknown,3.0.0
jsonref,pip,unknown,1.1.0
jsonschema,pip,unknown,4.26.0
jsonschema-path,pip,unknown,0.3.4
jsonschema-specifications,pip,unknown,2025.9.1
keyring,pip,unknown,24.3.1
keyrings.alt,pip,unknown,5.0.2
kombu,pip,unknown,5.6.2
kubernetes,pip,unknown,35.0.0
langchain-classic,pip,unknown,1.0.0
langchain-community,pip,unknown,0.4.1
langchain-core,pip,unknown,1.1.0
langchain-openai,pip,unknown,1.1.0
langchain-text-splitters,pip,unknown,1.0.0
langdetect,pip,unknown,1.0.9
langfuse,pip,unknown,4.6.1
langgraph,pip,unknown,1.0.4
langgraph-checkpoint,pip,unknown,3.0.1
langgraph-prebuilt,pip,unknown,1.0.5
langgraph-sdk,pip,unknown,0.2.10
langsmith,pip,unknown,0.4.38
latex2sympy2_extended,pip,unknown,1.10.1
lazy-object-proxy,pip,unknown,1.12.0
libcst,pip,unknown,1.8.5
linkify-it-py,pip,unknown,2.1.0
linkup-sdk,pip,unknown,0.2.11
litellm,pip,unknown,1.80.5
llama-index,pip,unknown,0.14.21
llama-index-core,pip,unknown,0.14.21
llama-index-embeddings-openai,pip,unknown,0.6.0
llama-index-instrumentation,pip,unknown,0.5.0
llama-index-llms-openai,pip,unknown,0.7.8
llama-index-workflows,pip,unknown,2.20.0
llm,pip,unknown,0.28
llm-perplexity,pip,unknown,2025.10.0
llvmlite,pip,unknown,0.45.1
locket,pip,unknown,1.0.0
lomond,pip,unknown,0.3.3
looseversion,pip,unknown,1.3.0
lupa,pip,unknown,2.6
lxml,pip,unknown,5.4.0
magika,pip,unknown,0.6.3
maigret,pip,unknown,0.6.0
mammoth,pip,unknown,1.11.0
mando,pip,unknown,0.7.1
markdown-it-py,pip,unknown,2.2.0
markdownify,pip,unknown,1.2.2
markitdown,pip,unknown,0.1.4
MarkupSafe,pip,unknown,3.0.3
marshmallow,pip,unknown,3.26.1
martian,pip,unknown,2.1
math-verify,pip,unknown,0.7.0
matplotlib,pip,unknown,3.9.2
mccabe,pip,unknown,0.7.0
mcp,pip,unknown,1.26.0
mdit-py-plugins,pip,unknown,0.3.3
mem0ai,pip,unknown,2.0.2
microsandbox,pip,unknown,0.1.8
microsoft-kiota-abstractions,pip,unknown,1.10.1
microsoft-kiota-authentication-azure,pip,unknown,1.10.1
microsoft-kiota-http,pip,unknown,1.10.1
microsoft-kiota-serialization-form,pip,unknown,1.10.1
microsoft-kiota-serialization-json,pip,unknown,1.10.1
microsoft-kiota-serialization-multipart,pip,unknown,1.10.1
microsoft-kiota-serialization-text,pip,unknown,1.10.1
mistralai,pip,unknown,1.12.4
mixpanel,pip,unknown,5.0.0
mmh3,pip,unknown,5.2.0
mock,pip,unknown,5.1.0
monotonic,pip,unknown,1.6
more-itertools,pip,unknown,10.8.0
MouseInfo,pip,unknown,0.1.3
msal,pip,unknown,1.34.0
msal-extensions,pip,unknown,1.3.1
msgraph-core,pip,unknown,1.3.8
msgraph-sdk,pip,unknown,1.57.0
multidict,pip,unknown,6.7.1
multipart,pip,unknown,1.3.0
multiprocess,pip,unknown,0.70.16
mypy,pip,unknown,1.11.2
mypy_extensions,pip,unknown,1.1.0
nebula3-python,pip,unknown,3.8.2
neo4j,pip,unknown,5.28.4
nest-asyncio,pip,unknown,1.6.0
networkx,pip,unknown,3.6.1
nibabel,pip,unknown,5.3.3
nipype,pip,unknown,1.10.0
nltk,pip,unknown,3.9.4
nodeenv,pip,unknown,1.10.0
notebooklm-py,pip,unknown,0.3.4
notion-client,pip,unknown,2.7.0
numba,pip,unknown,0.62.1
numpy,pip,unknown,1.26.4
oauth-cli-kit,pip,unknown,0.1.3
oauthlib,pip,unknown,3.3.1
obstore,pip,unknown,0.8.2
olefile,pip,unknown,0.47
onnxruntime,pip,unknown,1.19.2
openai,pip,unknown,2.36.0
openapi-pydantic,pip,unknown,0.5.1
openapi-schema-validator,pip,unknown,0.6.3
openapi-spec-validator,pip,unknown,0.7.2
opencv-python,pip,unknown,4.11.0.86
openpyxl,pip,unknown,3.1.5
opentelemetry-api,pip,unknown,1.41.1
opentelemetry-exporter-otlp-proto-common,pip,unknown,1.41.1
opentelemetry-exporter-otlp-proto-grpc,pip,unknown,1.41.1
opentelemetry-exporter-otlp-proto-http,pip,unknown,1.41.1
opentelemetry-instrumentation,pip,unknown,0.62b1
opentelemetry-instrumentation-aiohttp-client,pip,unknown,0.62b1
opentelemetry-instrumentation-asgi,pip,unknown,0.62b1
opentelemetry-instrumentation-fastapi,pip,unknown,0.62b1
opentelemetry-proto,pip,unknown,1.41.1
opentelemetry-sdk,pip,unknown,1.41.1
opentelemetry-semantic-conventions,pip,unknown,0.62b1
opentelemetry-util-http,pip,unknown,0.62b1
ordered-set,pip,unknown,4.1.0
orjson,pip,unknown,3.11.7
ormsgpack,pip,unknown,1.12.0
oscrypto,pip,unknown,1.3.0
overrides,pip,unknown,7.7.0
packaging,pip,unknown,25.0
pandas,pip,unknown,2.2.3
partd,pip,unknown,1.4.2
passlib,pip,unknown,1.7.4
pathable,pip,unknown,0.4.4
pathlib,pip,unknown,1.0.1
pathlib2,pip,unknown,2.3.7.post1
pathspec,pip,unknown,1.0.4
pathvalidate,pip,unknown,3.3.1
patsy,pip,unknown,1.0.2
pdfminer.six,pip,unknown,20251230
pdfplumber,pip,unknown,0.11.9
perplexityai,pip,unknown,0.32.1
persistent,pip,unknown,6.5
pgvector,pip,unknown,0.2.5
pillow,pip,unknown,10.4.0
pinecone-client,pip,unknown,6.0.0
pinecone-plugin-interface,pip,unknown,0.0.7
pip,pip,unknown,26.1.1
playwright,pip,unknown,1.58.0
plotly,pip,unknown,5.24.1
pluggy,pip,unknown,1.6.0
ply,pip,unknown,3.11
pockets,pip,unknown,0.9.1
polars,pip,unknown,1.7.1
portalocker,pip,unknown,3.2.0
posthog,pip,unknown,7.8.6
prance,pip,unknown,23.6.21.0
praw,pip,unknown,7.8.1
prawcore,pip,unknown,2.4.0
pre-commit,pip,unknown,3.8.0
primp,pip,unknown,0.15.0
prometheus_client,pip,unknown,0.24.1
prompt_toolkit,pip,unknown,3.0.52
propcache,pip,unknown,0.5.2
proto-plus,pip,unknown,1.26.1
protobuf,pip,unknown,6.33.6
prov,pip,unknown,2.1.1
psutil,pip,unknown,5.9.8
psycopg,pip,unknown,3.3.4
psycopg-binary,pip,unknown,3.3.4
psycopg2-binary,pip,unknown,2.9.9
puremagic,pip,unknown,1.30
py-key-value-aio,pip,unknown,0.3.0
py-key-value-shared,pip,unknown,0.3.0
pyarrow,pip,unknown,17.0.0
pyasn1,pip,unknown,0.6.1
pyasn1_modules,pip,unknown,0.4.2
PyAutoGUI,pip,unknown,0.9.54
pybase64,pip,unknown,1.4.2
pycairo,pip,unknown,1.29.0
pycares,pip,unknown,5.0.1
pycodestyle,pip,unknown,2.14.0
pycountry,pip,unknown,26.2.16
pycparser,pip,unknown,3.0
pydantic,pip,unknown,2.12.0
pydantic_core,pip,unknown,2.41.1
pydantic-settings,pip,unknown,2.12.0
pydocket,pip,unknown,0.17.5
pydot,pip,unknown,4.0.1
pydub,pip,unknown,0.25.1
pyee,pip,unknown,13.0.0
pyflakes,pip,unknown,3.4.0
PyGetWindow,pip,unknown,0.0.9
PyGithub,pip,unknown,2.9.1
Pygments,pip,unknown,2.19.2
pygount,pip,unknown,3.2.0
pyHanko,pip,unknown,0.35.1
pyhanko-certvalidator,pip,unknown,0.31.1
PyJWT,pip,unknown,2.11.0
PyLaTeX,pip,unknown,1.4.2
pylint,pip,unknown,4.0.2
pymilvus,pip,unknown,2.6.13
pymongo,pip,unknown,4.8.0
PyMsgBox,pip,unknown,2.0.1
PyMuPDF,pip,unknown,1.27.2.3
PyMySQL,pip,unknown,1.1.3
PyNaCl,pip,unknown,1.6.2
pyobjc-core,pip,unknown,12.1
pyobjc-framework-Cocoa,pip,unknown,12.1
pyobjc-framework-Quartz,pip,unknown,12.1
pyobject,pip,unknown,1.3.4
pyobvector,pip,unknown,0.2.26
pyowm,pip,unknown,3.5.0
pypandoc,pip,unknown,1.16.2
pypdf,pip,unknown,6.11.0
PyPDF2,pip,unknown,3.0.1
pypdfium2,pip,unknown,5.4.0
pyperclip,pip,unknown,1.11.0
PyPika,pip,unknown,0.48.9
pyproject_hooks,pip,unknown,1.2.0
PyQt5,pip,unknown,5.15.11
PyQt5-Qt5,pip,unknown,5.15.18
PyQt5_sip,pip,unknown,12.17.1
PyRect,pip,unknown,0.2.0
PyScreeze,pip,unknown,1.0.1
Pysher,pip,unknown,1.0.8
pyTelegramBotAPI,pip,unknown,4.33.0
pytesseract,pip,unknown,0.3.13
pytest,pip,unknown,7.4.4
pytest-asyncio,pip,unknown,0.23.8
pytest-base-url,pip,unknown,2.1.0
pytest-cov,pip,unknown,4.1.0
pytest-playwright,pip,unknown,0.7.2
python-bidi,pip,unknown,0.6.9
python-docx,pip,unknown,1.2.0
python-dotenv,pip,unknown,1.2.1
python-gettext,pip,unknown,5.0
python-iso639,pip,unknown,2026.4.20
python-json-logger,pip,unknown,4.0.0
python-magic,pip,unknown,0.4.27
python-multipart,pip,unknown,0.0.20
python-oxmsg,pip,unknown,0.0.2
python-pptx,pip,unknown,1.0.2
python-slugify,pip,unknown,8.0.4
python-socks,pip,unknown,2.8.1
python-ulid,pip,unknown,3.1.0
pytidb,pip,unknown,0.0.14
pytokens,pip,unknown,0.2.0
pytweening,pip,unknown,1.2.0
pytz,pip,unknown,2025.2
pyvis,pip,unknown,0.3.2
PyWavelets,pip,unknown,1.9.0
pyxnat,pip,unknown,1.6.4
PyYAML,pip,unknown,6.0.3
qdrant-client,pip,unknown,1.15.1
radon,pip,unknown,6.0.1
rank-bm25,pip,unknown,0.2.2
rasterio,pip,unknown,1.4.4
rcsb-api,pip,unknown,1.5.0
rdflib,pip,unknown,7.5.0
redis,pip,unknown,5.0.8
referencing,pip,unknown,0.36.2
regex,pip,unknown,2026.1.15
reka-api,pip,unknown,3.2.0
reportlab,pip,unknown,4.4.10
requests,pip,unknown,2.32.5
requests-futures,pip,unknown,1.0.2
requests-oauthlib,pip,unknown,1.3.1
requests-toolbelt,pip,unknown,1.0.0
resend,pip,unknown,2.30.1
rfc3339-validator,pip,unknown,0.1.4
rich,pip,unknown,14.3.2
rich-rst,pip,unknown,1.3.2
rlcard,pip,unknown,1.2.0
rlPyCairo,pip,unknown,0.4.0
rouge,pip,unknown,1.0.1
rpds-py,pip,unknown,0.30.0
rsa,pip,unknown,4.9.1
ruamel.yaml,pip,unknown,0.18.17
ruamel.yaml.clib,pip,unknown,0.2.15
rubicon-objc,pip,unknown,0.5.4
ruptures,pip,unknown,1.1.10
rustworkx,pip,unknown,0.17.1
s3transfer,pip,unknown,0.17.0
safetensors,pip,unknown,0.6.2
scenedetect,pip,unknown,0.7
schedule,pip,unknown,1.2.2
scholarly,pip,unknown,1.7.11
scikit-image,pip,unknown,0.26.0
scikit-learn,pip,unknown,1.5.2
scipy,pip,unknown,1.15.3
scrapegraph_py,pip,unknown,1.47.0
semantic-version,pip,unknown,2.10.0
sentencepiece,pip,unknown,0.2.1
sentry-sdk,pip,unknown,1.45.1
setuptools,pip,unknown,78.1.1
sgmllib3k,pip,unknown,1.0.0
shellingham,pip,unknown,1.5.4
shtab,pip,unknown,1.8.0
simplejson,pip,unknown,3.20.2
slack_bolt,pip,unknown,1.28.0
slack_sdk,pip,unknown,3.41.0
smart_open,pip,unknown,7.5.0
sniffio,pip,unknown,1.3.1
snowballstemmer,pip,unknown,2.2.0
socid-extractor,pip,unknown,0.0.28
sounddevice,pip,unknown,0.5.5
soupsieve,pip,unknown,2.8.3
SpeechRecognition,pip,unknown,3.14.5
sphinx-autobuild,pip,unknown,2025.8.25
sphinx-copybutton,pip,unknown,0.5.2
sphinxcontrib-napoleon,pip,unknown,0.7
SQLAlchemy,pip,unknown,2.0.35
sqlglot,pip,unknown,30.8.0
sqlite-fts4,pip,unknown,1.0.3
sqlite-migrate,pip,unknown,0.1b0
sqlite-utils,pip,unknown,3.38
sqlmodel,pip,unknown,0.0.38
sse-starlette,pip,unknown,2.1.3
starlette,pip,unknown,0.52.1
statsmodels,pip,unknown,0.14.6
std-uritemplate,pip,unknown,2.0.8
stem,pip,unknown,1.8.2
stripe,pip,unknown,11.6.0
structlog,pip,unknown,24.4.0
surrealdb,pip,unknown,2.0.0
svglib,pip,unknown,1.6.0
tabulate,pip,unknown,0.9.0
tarsier,pip,unknown,0.8.2
tavily-python,pip,unknown,0.5.4
tenacity,pip,unknown,9.1.2
termcolor,pip,unknown,2.4.0
text-unidecode,pip,unknown,1.3
textblob,pip,unknown,0.17.1
tf-playwright-stealth,pip,unknown,1.2.0
threadpoolctl,pip,unknown,3.6.0
tifffile,pip,unknown,2026.3.3
tiktoken,pip,unknown,0.12.0
tinytag,pip,unknown,2.2.1
tokenizers,pip,unknown,0.20.3
toml,pip,unknown,0.10.2
tomlkit,pip,unknown,0.13.3
toolz,pip,unknown,1.1.0
toonify,pip,unknown,1.6.0
torrequest,pip,unknown,0.1.0
tqdm,pip,unknown,4.67.3
traits,pip,unknown,7.1.0
transaction,pip,unknown,5.0
transformers,pip,unknown,4.45.2
tree-sitter,pip,unknown,0.23.2
tree-sitter-embedded-template,pip,unknown,0.25.0
tree-sitter-language-pack,pip,unknown,0.13.0
tree-sitter-python,pip,unknown,0.23.6
tree-sitter-yaml,pip,unknown,0.7.2
typer,pip,unknown,0.23.0
typer-slim,pip,unknown,0.23.0
types-colorama,pip,unknown,0.4.15.20260508
types-mock,pip,unknown,5.2.0.20260508
types-PyYAML,pip,unknown,6.0.12.20260510
types-requests,pip,unknown,2.32.4.20250913
types-setuptools,pip,unknown,75.8.2.20250305
types-tqdm,pip,unknown,4.67.3.20260508
typing_extensions,pip,unknown,4.15.0
typing-inspect,pip,unknown,0.9.0
typing-inspection,pip,unknown,0.4.2
tzdata,pip,unknown,2025.2
tzlocal,pip,unknown,5.3.1
uc-micro-py,pip,unknown,2.0.0
unstructured,pip,unknown,0.16.20
unstructured-client,pip,unknown,0.42.12
update-checker,pip,unknown,0.18.0
uritemplate,pip,unknown,4.2.0
uritools,pip,unknown,6.1.0
urllib3,pip,unknown,2.7.0
uvicorn,pip,unknown,0.40.0
uvloop,pip,unknown,0.22.1
validators,pip,unknown,0.35.0
vine,pip,unknown,5.1.0
virtualenv,pip,unknown,20.35.4
voyageai,pip,unknown,0.3.5
watchfiles,pip,unknown,1.1.1
wcwidth,pip,unknown,0.6.0
weaviate-client,pip,unknown,4.16.2
webcolors,pip,unknown,25.10.0
webdriver-manager,pip,unknown,4.0.2
websocket-client,pip,unknown,1.8.0
websockets,pip,unknown,15.0.1
wheel,pip,unknown,0.47.0
Whoosh,pip,unknown,2.7.4
wikipedia,pip,unknown,1.4.0
wolframalpha,pip,unknown,5.1.3
wrapt,pip,unknown,1.17.3
xai-sdk,pip,unknown,1.12.2
xhtml2pdf,pip,unknown,0.2.17
xlrd,pip,unknown,2.0.2
xls2xlsx,pip,unknown,0.2.0
xlsxwriter,pip,unknown,3.2.9
XMind,pip,unknown,1.2.0
xmltodict,pip,unknown,1.0.2
xxhash,pip,unknown,3.6.0
yarl,pip,unknown,1.23.0
youtube-transcript-api,pip,unknown,1.0.3
yt-dlp,pip,unknown,2024.12.23
z3c.flashmessage,pip,unknown,4.0
z3c.pt,pip,unknown,5.1
zc.catalog,pip,unknown,5.0
zc.lockfile,pip,unknown,4.0
ZConfig,pip,unknown,4.3
zdaemon,pip,unknown,5.2.1
zipp,pip,unknown,3.23.1
ZODB,pip,unknown,6.1
zodbpickle,pip,unknown,4.3
zope.annotation,pip,unknown,6.0
zope.app.appsetup,pip,unknown,6.0
zope.app.publication,pip,unknown,6.0
zope.app.wsgi,pip,unknown,6.0
zope.authentication,pip,unknown,6.0
zope.browser,pip,unknown,4.0
zope.browserpage,pip,unknown,6.0
zope.browserresource,pip,unknown,6.0
zope.cachedescriptors,pip,unknown,6.0
zope.catalog,pip,unknown,6.0
zope.component,pip,unknown,7.0
zope.configuration,pip,unknown,7.0
zope.container,pip,unknown,7.2
zope.contentprovider,pip,unknown,7.0
zope.contenttype,pip,unknown,6.0
zope.datetime,pip,unknown,6.0
zope.deferredimport,pip,unknown,6.0
zope.deprecation,pip,unknown,6.0
zope.dottedname,pip,unknown,7.0
zope.error,pip,unknown,6.0
zope.errorview,pip,unknown,3.0
zope.event,pip,unknown,6.1
zope.exceptions,pip,unknown,6.0
zope.filerepresentation,pip,unknown,7.0
zope.formlib,pip,unknown,7.0
zope.generations,pip,unknown,7.0
zope.hookable,pip,unknown,8.2
zope.i18n,pip,unknown,6.0
zope.i18nmessageid,pip,unknown,8.2
zope.index,pip,unknown,8.1
zope.interface,pip,unknown,8.1.1
zope.intid,pip,unknown,6.0
zope.keyreference,pip,unknown,7.0
zope.lifecycleevent,pip,unknown,6.0
zope.location,pip,unknown,6.0
zope.login,pip,unknown,4.0
zope.minmax,pip,unknown,4.0
zope.pagetemplate,pip,unknown,6.1
zope.password,pip,unknown,6.1
zope.principalregistry,pip,unknown,6.0
zope.processlifetime,pip,unknown,4.0
zope.proxy,pip,unknown,7.1
zope.ptresource,pip,unknown,6.0
zope.publisher,pip,unknown,8.0
zope.schema,pip,unknown,8.1
zope.security,pip,unknown,8.3
zope.securitypolicy,pip,unknown,6.0
zope.session,pip,unknown,6.0
zope.site,pip,unknown,6.0
zope.size,pip,unknown,6.0
zope.tal,pip,unknown,6.0
zope.tales,pip,unknown,7.0
zope.testing,pip,unknown,6.0
zope.traversing,pip,unknown,6.0
zope.viewlet,pip,unknown,6.0
zstandard,pip,unknown,0.25.0
